observer,label,control_from_filename,n_files,seeds,d_ns,control_modes
distilgpt2,Aesthetic_Appeal_targetpool,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,Clarity,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,Creativity,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,Surprise,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,Surprise_surfacepool,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,aesthetic,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,aesthetic,wordctrl,15,"17.0,18.0,19.0,20.0,21.0","6,8,12","[""word_shuffle""]"
distilgpt2,valence,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
distilgpt2,valence_targetpool,wordctrl,3,,12,"[""word_shuffle""]"
gpt2,Aesthetic_Appeal,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2,Clarity,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2,Felt_Valence,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2,Surprise,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2,Surprise_surfacepool,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2-medium,Aesthetic_Appeal,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2-medium,Clarity,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2-medium,Surprise,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
gpt2-medium,Surprise_surfacepool,matchedctrl,5,"17.0,18.0,19.0,20.0,21.0",8,"[""matched_other""]"
