analysis,target,domain_variant,control_variant,generic_seed,generic_d_n,generic_metric,generic_source_file,pool_target,eval_target,fold_seed,supervised_seed,supervised_d_n,supervised_metric,supervised_source_file,n_items,observed_generic_rho,observed_supervised_rho,observed_diff
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed101_seed17_dn8.csv,36,-0.06655081542609209,0.5121967013160937,0.5787475167421858
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed101_seed18_dn8.csv,36,-0.06655081542609209,0.516573350686475,0.5831241661125671
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed101_seed19_dn8.csv,36,-0.06655081542609209,0.5170882506124023,0.5836390660384944
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed123_seed17_dn8.csv,36,-0.06655081542609209,0.4146231653528871,0.4811739807789792
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed123_seed18_dn8.csv,36,-0.06655081542609209,0.5842826909459033,0.6508335063719954
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed123_seed19_dn8.csv,36,-0.06655081542609209,0.46250885846411777,0.5290596738902098
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed202_seed17_dn8.csv,36,-0.06655081542609209,0.35566712383422133,0.4222179392603134
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed202_seed18_dn8.csv,36,-0.06655081542609209,0.4014932172417432,0.4680440326678353
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed202_seed19_dn8.csv,36,-0.06655081542609209,0.513998851056839,0.580549666482931
domain_contrast,Aesthetic_Appeal,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Aesthetic_Appeal,Aesthetic_Appeal,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolAesthetic_Appeal_evalAesthetic_Appeal_foldseed101_seed17_dn8.csv,36,-0.08676063751873514,0.5121967013160937,0.5989573388348288
